Thu Mar 29 18:47:30 2018, Humidity,T in C,T in F,mS1,mS2,mS3,mS4,mS5,mS6,mS7,mS8,mS9,mS10,mS11,mS12,mS13,mS14,mS15,mS16,p1,p2,p3,p4
Tue Apr  3 07:39:29 2018, 61.70,21.10,69.98,796,828,894,895,893,890,887,890,884,884,889,892,0,903,885,893,0,0,4,0,
Tue Apr  3 07:44:29 2018, 61.80,21.10,69.98,796,827,893,895,893,890,887,891,884,884,889,892,1,903,885,892,0,0,5,0,
Tue Apr  3 07:49:30 2018, 61.70,21.10,69.98,796,827,893,895,893,890,887,890,884,885,889,892,0,903,885,893,0,0,5,0,
Tue Apr  3 07:54:30 2018, 61.80,21.10,69.98,796,827,893,894,892,891,885,891,884,884,889,891,2,903,885,889,0,0,4,0,
Tue Apr  3 07:59:30 2018, 61.80,21.10,69.98,796,827,893,895,893,890,887,890,884,884,888,892,4,903,885,885,0,0,4,0,
Tue Apr  3 08:04:30 2018, 61.90,21.10,69.98,796,826,893,894,893,890,886,891,884,884,889,892,4,903,885,887,0,0,5,0,
Tue Apr  3 08:09:30 2018, 62.00,21.10,69.98,796,827,894,894,894,890,887,891,883,884,889,892,4,903,885,887,0,0,5,0,
Tue Apr  3 08:14:30 2018, 61.90,21.10,69.98,796,827,894,894,893,891,886,891,884,885,888,892,3,903,885,887,0,0,4,0,
Tue Apr  3 08:19:30 2018, 62.00,21.10,69.98,796,827,893,894,893,891,886,891,884,884,889,891,9,903,885,887,0,0,5,0,
Tue Apr  3 08:24:30 2018, 62.00,21.10,69.98,796,827,894,894,893,890,887,890,884,885,889,892,0,903,885,890,0,0,5,0,
Tue Apr  3 08:29:30 2018, 61.80,21.10,69.98,796,827,893,895,893,890,887,890,884,885,889,892,2,903,884,891,0,0,4,0,
Tue Apr  3 08:34:30 2018, 61.80,21.10,69.98,797,827,893,894,893,890,887,891,884,884,888,892,0,903,885,892,0,0,4,0,
Tue Apr  3 08:39:31 2018, 61.70,21.10,69.98,795,827,893,894,893,890,887,891,884,885,889,892,1,903,885,889,0,0,5,0,
Tue Apr  3 08:44:31 2018, 61.60,21.10,69.98,796,827,894,893,893,890,886,891,884,884,889,892,1,903,886,892,0,0,4,0,
Tue Apr  3 08:49:31 2018, 61.50,21.10,69.98,796,827,893,894,894,891,886,891,884,884,889,892,2,902,886,890,0,0,4,0,
Tue Apr  3 08:54:31 2018, 61.40,21.10,69.98,796,827,893,894,893,890,887,890,884,884,889,892,0,903,885,890,0,0,4,0,
Tue Apr  3 08:59:31 2018, 61.30,21.10,69.98,796,827,894,893,893,890,887,891,884,885,889,892,1,903,885,889,0,0,4,0,
Tue Apr  3 09:04:31 2018, 61.40,21.10,69.98,795,827,893,895,893,890,886,890,884,885,889,892,6,903,885,886,0,0,5,0,
Tue Apr  3 09:09:31 2018, 61.50,21.10,69.98,796,827,893,894,893,890,887,890,884,883,890,892,2,903,885,889,0,0,4,0,
Tue Apr  3 09:14:31 2018, 61.60,21.10,69.98,797,827,893,894,894,890,887,890,884,884,888,892,0,903,885,890,0,0,5,0,
Tue Apr  3 09:19:31 2018, 61.40,21.10,69.98,796,827,894,894,893,890,887,891,885,885,889,893,3,903,884,890,0,0,4,0,
Tue Apr  3 09:24:31 2018, 61.40,21.10,69.98,796,827,893,894,894,890,887,891,884,884,889,893,5,903,885,887,0,0,4,0,
Tue Apr  3 09:29:32 2018, 61.50,21.10,69.98,796,826,894,894,893,890,887,890,884,884,888,892,2,903,885,888,0,0,4,0,
Tue Apr  3 09:34:32 2018, 61.50,21.10,69.98,796,827,894,894,893,890,887,891,884,885,889,892,2,902,885,889,0,0,4,0,
Tue Apr  3 09:39:32 2018, 61.50,21.10,69.98,796,825,893,894,893,890,886,890,884,884,889,892,8,902,886,890,0,0,4,0,
Tue Apr  3 09:44:32 2018, 61.50,21.10,69.98,796,827,893,895,893,891,887,891,884,884,890,892,10,902,885,890,0,0,4,0,
Tue Apr  3 09:49:32 2018, 61.60,21.10,69.98,796,827,893,894,893,889,886,890,884,884,889,892,0,902,886,892,0,0,5,0,
Tue Apr  3 09:54:32 2018, 61.60,21.10,69.98,795,827,893,895,893,890,887,890,885,885,889,892,0,902,885,893,0,0,4,0,
Tue Apr  3 09:59:32 2018, 61.40,21.10,69.98,795,827,894,894,894,889,887,889,884,884,889,892,0,903,885,893,0,0,4,0,
Tue Apr  3 10:04:32 2018, 61.30,21.10,69.98,796,826,893,894,893,890,886,890,884,885,889,892,0,902,885,892,0,0,4,0,
Tue Apr  3 10:09:32 2018, 61.20,21.20,70.16,796,827,893,894,894,890,887,890,884,884,889,892,1,903,885,891,0,0,5,0,
Tue Apr  3 10:14:32 2018, 61.20,21.10,69.98,795,827,894,894,894,890,887,890,884,884,890,892,2,902,885,890,0,0,4,0,
Tue Apr  3 10:19:32 2018, 61.20,21.10,69.98,796,826,893,894,893,890,887,890,884,884,890,892,1,902,885,890,0,0,4,0,
Tue Apr  3 10:24:32 2018, 61.20,21.20,70.16,796,827,894,895,893,890,887,890,884,884,890,893,2,902,885,889,0,0,3,0,
Tue Apr  3 10:29:32 2018, 61.30,21.20,70.16,796,827,893,895,893,889,887,890,884,884,889,892,0,903,885,890,0,0,4,0,
Tue Apr  3 10:34:32 2018, 61.10,21.10,69.98,796,827,892,894,894,890,885,890,884,884,889,892,0,903,885,890,0,0,4,0,
Tue Apr  3 10:39:32 2018, 61.20,21.10,69.98,796,827,893,894,893,889,886,891,884,884,889,892,0,902,885,890,0,0,4,0,
Tue Apr  3 10:44:32 2018, 61.20,21.20,70.16,797,827,893,895,894,891,887,890,884,884,889,892,2,903,885,890,0,0,4,0,
Tue Apr  3 10:49:32 2018, 61.30,21.20,70.16,796,826,893,894,894,890,887,891,884,884,889,893,10,903,885,887,0,0,4,0,
Tue Apr  3 10:54:32 2018, 61.30,21.20,70.16,796,827,894,894,894,890,887,890,884,883,890,891,4,903,882,886,0,0,4,0,
Tue Apr  3 10:59:32 2018, 61.30,21.10,69.98,796,827,894,894,893,890,887,890,884,884,889,892,1,902,885,888,0,0,3,0,
Tue Apr  3 11:04:32 2018, 61.40,21.20,70.16,796,825,894,89451.70,22.20,71.96,795,826,891,885,893,884,890,889,879,885,897,893,0,900,886,888,0,0,0,0,
Tue Apr  3 11:09:33 2018, 51.70,22.20,71.96,795,824,892,885,893,886,889,889,880,885,898,893,0,900,886,887,0,0,0,0,
Tue Apr  3 11:14:33 2018, 51.80,22.20,71.96,795,825,892,885,893,887,889,889,880,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 11:19:33 2018, 51.80,22.20,71.96,795,825,891,886,893,886,889,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 11:24:33 2018, 51.80,22.20,71.96,795,825,892,885,893,886,889,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 11:29:33 2018, 51.80,22.20,71.96,796,825,892,885,893,886,889,889,880,885,898,893,12,901,886,888,0,0,0,0,
Tue Apr  3 11:34:33 2018, 51.70,22.20,71.96,796,826,892,885,893,886,889,889,880,885,898,893,1,900,885,888,0,0,0,0,
Tue Apr  3 11:39:33 2018, 51.70,22.20,71.96,796,825,892,885,893,886,889,889,880,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 11:44:33 2018, 51.70,22.20,71.96,796,825,892,886,893,886,890,888,879,885,898,893,0,900,886,887,0,0,0,0,
Tue Apr  3 11:49:33 2018, 51.60,22.20,71.96,796,825,892,885,892,886,890,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 11:54:33 2018, 51.60,22.20,71.96,795,826,891,886,893,886,890,889,879,886,898,893,0,900,886,887,0,0,0,0,
Tue Apr  3 11:59:33 2018, 51.50,22.20,71.96,796,825,891,885,893,886,889,889,879,886,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 12:04:33 2018, 51.40,22.20,71.96,795,825,891,885,892,886,890,888,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 12:09:33 2018, 51.50,22.20,71.96,795,826,892,885,893,886,890,889,879,886,898,893,0,899,886,888,0,0,0,0,
Tue Apr  3 12:14:33 2018, 51.60,22.20,71.96,796,826,891,885,893,886,889,889,879,886,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 12:19:34 2018, 51.60,22.20,71.96,795,825,892,885,893,886,889,890,879,885,898,893,0,900,885,888,0,0,0,0,
Tue Apr  3 12:24:34 2018, 51.60,22.20,71.96,795,826,891,885,893,886,889,888,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 12:29:34 2018, 51.70,22.20,71.96,796,825,892,885,893,886,889,889,879,886,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 12:34:34 2018, 51.80,22.20,71.96,795,825,892,885,893,886,889,889,879,885,898,893,0,900,887,888,0,0,0,0,
Tue Apr  3 12:39:34 2018, 51.80,22.20,71.96,796,825,892,885,893,887,890,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 12:44:34 2018, 51.70,22.20,71.96,796,825,892,885,893,886,889,889,879,886,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 12:49:34 2018, 51.60,22.20,71.96,796,826,891,885,893,886,890,889,879,886,898,894,0,900,886,888,0,0,0,0,
Tue Apr  3 12:54:34 2018, 51.50,22.20,71.96,796,825,892,885,893,886,890,889,879,885,898,893,0,900,886,887,0,0,0,0,
Tue Apr  3 12:59:34 2018, 51.50,22.20,71.96,796,825,892,885,892,886,890,889,879,885,898,893,0,900,886,887,0,0,0,0,
Tue Apr  3 13:04:34 2018, 51.50,22.20,71.96,796,825,892,886,892,886,890,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 13:09:34 2018, 51.50,22.20,71.96,796,826,892,885,893,886,890,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 13:14:35 2018, 51.40,22.20,71.96,795,825,892,885,893,886,890,889,879,886,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 13:19:35 2018, 51.40,22.20,71.96,797,826,891,885,892,886,890,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 13:24:35 2018, 51.40,22.20,71.96,796,824,892,885,893,886,889,889,879,886,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 13:29:35 2018, 51.40,22.20,71.96,796,825,892,885,894,886,890,889,879,886,898,893,0,900,886,887,0,0,0,0,
Tue Apr  3 13:34:35 2018, 51.40,22.20,71.96,795,825,891,884,893,886,890,889,878,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 13:39:35 2018, 51.50,22.20,71.96,795,825,891,885,893,885,890,889,879,885,897,893,0,900,886,887,0,0,0,0,
Tue Apr  3 13:44:35 2018, 51.50,22.20,71.96,796,826,891,885,893,886,890,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 13:49:35 2018, 51.50,22.20,71.96,795,826,892,885,893,886,889,889,879,885,898,893,0,900,885,888,0,0,0,0,
Tue Apr  3 13:54:35 2018, 51.60,22.20,71.96,796,825,892,885,893,887,889,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 13:59:35 2018, 51.70,22.20,71.96,796,825,892,885,893,887,889,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 14:04:35 2018, 51.70,22.20,71.96,796,825,892,885,893,886,890,889,879,886,898,893,0,900,886,887,0,0,0,0,
Tue Apr  3 14:09:35 2018, 51.50,22.20,71.96,796,825,892,885,893,887,890,889,879,885,898,893,0,900,885,888,0,0,0,0,
Tue Apr  3 14:14:35 2018, 51.50,22.20,71.96,795,825,892,885,893,886,889,889,879,886,898,893,0,900,885,888,0,0,0,0,
Tue Apr  3 14:19:36 2018, 51.50,22.20,71.96,796,825,891,885,892,886,890,889,879,885,897,893,0,900,886,887,0,0,0,0,
Tue Apr  3 14:24:36 2018, 51.40,22.20,71.96,796,825,892,885,893,886,889,889,879,885,898,892,0,900,886,888,0,0,0,0,
Tue Apr  3 14:29:36 2018, 51.40,22.20,71.96,796,826,892,885,892,886,890,889,879,885,898,893,0,900,886,888,0,0,0,0,
Tue Apr  3 14:34:36 2018, 51.40,22.20,71.96,794,825,891,885,893,886,890,889,879,885,898,893,2,900,885,888,0,0,0,0,
Tue Apr  3 14:39:36 2018, 51.40,22.20,71.96,797,826,892,885,893,886,890,889,879,885,898,894,4,900,886,888,0,0,0,0,
Tue Apr  3 14:44:36 2018, 51.40,22.20,71.96,796,826,892,885,892,886,890,889,879,884,899,893,0,900,885,888,0,0,0,0,
Tue Apr  3 14:49:36 2018, 51.40,22.20,71.96,796,826,892,847.90,22.50,72.50,795,824,892,886,892,886,889,889,883,885,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 14:54:36 2018, 47.90,22.50,72.50,796,824,892,886,892,886,889,889,884,885,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 14:59:36 2018, 48.00,22.50,72.50,796,825,892,886,893,886,890,889,883,885,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 15:04:36 2018, 47.90,22.50,72.50,796,825,892,885,892,885,890,889,883,885,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 15:09:37 2018, 47.90,22.50,72.50,796,824,892,886,892,886,890,889,883,886,900,893,0,898,886,889,0,0,0,0,
Tue Apr  3 15:14:37 2018, 47.90,22.50,72.50,796,824,891,886,891,886,889,890,883,885,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 15:19:37 2018, 47.80,22.50,72.50,796,825,892,886,893,886,890,889,884,886,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 15:24:37 2018, 47.70,22.50,72.50,796,824,892,886,892,886,889,890,884,885,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 15:29:37 2018, 47.70,22.50,72.50,796,824,893,886,892,886,889,889,883,885,900,893,13,899,885,889,0,0,0,0,
Tue Apr  3 15:34:37 2018, 47.70,22.50,72.50,796,823,892,886,892,886,888,890,883,885,900,893,0,899,886,890,0,0,0,0,
Tue Apr  3 15:39:37 2018, 47.80,22.50,72.50,796,824,892,887,893,886,889,889,884,885,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 15:44:37 2018, 47.70,22.50,72.50,796,824,892,886,892,886,888,890,883,885,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 15:49:37 2018, 47.80,22.50,72.50,795,824,892,886,892,886,890,889,884,885,900,893,0,899,885,890,0,0,0,0,
Tue Apr  3 15:54:37 2018, 47.90,22.50,72.50,795,824,892,886,892,886,889,890,883,885,901,893,0,899,886,890,0,0,0,0,
Tue Apr  3 15:59:37 2018, 48.00,22.50,72.50,795,824,891,886,893,886,890,888,883,886,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 16:04:38 2018, 48.00,22.50,72.50,796,824,892,886,892,886,890,889,883,885,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 16:09:38 2018, 48.00,22.50,72.50,796,824,892,886,892,886,889,890,883,886,900,893,5,899,885,889,0,0,0,0,
Tue Apr  3 16:14:38 2018, 47.90,22.50,72.50,796,824,892,886,892,887,889,890,883,885,900,893,0,899,885,888,0,0,0,0,
Tue Apr  3 16:19:38 2018, 47.90,22.50,72.50,796,824,892,886,892,886,889,890,883,885,900,892,0,899,886,889,0,0,0,0,
Tue Apr  3 16:24:38 2018, 47.80,22.50,72.50,796,825,892,886,893,886,890,890,883,886,900,893,0,899,885,890,0,0,0,0,
Tue Apr  3 16:29:38 2018, 47.80,22.50,72.50,796,824,892,886,892,886,889,890,883,885,900,892,0,899,886,889,0,0,0,0,
Tue Apr  3 16:34:38 2018, 47.80,22.50,72.50,795,824,892,886,892,886,889,890,883,886,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 16:39:38 2018, 47.70,22.50,72.50,796,824,892,886,892,886,889,890,883,885,901,893,0,899,885,889,0,0,0,0,
Tue Apr  3 16:44:38 2018, 47.70,22.40,72.32,796,824,892,886,892,886,889,889,883,885,901,893,0,899,885,889,0,0,0,0,
Tue Apr  3 16:49:38 2018, 47.70,22.50,72.50,796,824,892,886,892,886,890,890,882,885,900,892,0,899,885,890,0,0,0,0,
Tue Apr  3 16:54:38 2018, 47.70,22.50,72.50,796,824,892,885,893,886,889,889,883,886,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 16:59:38 2018, 47.80,22.50,72.50,795,825,892,886,892,886,890,889,883,885,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 17:04:38 2018, 47.90,22.50,72.50,795,824,892,886,893,884,890,889,883,886,899,893,0,899,886,889,0,0,0,0,
Tue Apr  3 17:09:38 2018, 48.00,22.50,72.50,796,824,892,886,892,886,889,890,883,885,900,892,0,899,886,889,0,0,0,0,
Tue Apr  3 17:14:39 2018, 47.90,22.50,72.50,796,824,892,886,893,886,889,890,883,886,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 17:19:39 2018, 47.90,22.50,72.50,795,825,892,886,893,886,889,889,883,886,900,893,0,899,886,890,0,0,0,0,
Tue Apr  3 17:24:39 2018, 47.70,22.50,72.50,795,824,891,886,892,886,889,888,883,885,900,893,0,898,885,889,0,0,0,0,
Tue Apr  3 17:29:39 2018, 47.70,22.50,72.50,795,823,892,886,893,886,888,890,883,885,901,892,0,899,885,889,0,0,0,0,
Tue Apr  3 17:34:39 2018, 47.70,22.50,72.50,795,824,892,886,893,886,890,890,883,886,900,894,0,899,885,890,0,0,0,0,
Tue Apr  3 17:39:39 2018, 47.70,22.50,72.50,795,824,892,886,892,886,889,890,883,885,900,893,0,899,886,890,0,0,0,0,
Tue Apr  3 17:44:39 2018, 47.80,22.50,72.50,795,824,892,886,892,886,889,890,883,886,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 17:49:39 2018, 47.80,22.50,72.50,795,824,892,886,893,886,890,890,883,886,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 17:54:39 2018, 47.80,22.50,72.50,796,824,893,886,892,886,889,890,883,885,900,892,0,899,886,889,0,0,0,0,
Tue Apr  3 17:59:39 2018, 47.80,22.40,72.32,795,824,892,886,892,886,889,890,883,886,900,892,0,898,885,889,0,0,0,0,
Tue Apr  3 18:04:39 2018, 47.80,22.40,72.32,796,824,893,886,893,886,890,889,883,886,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 18:09:40 2018, 47.90,22.40,72.32,796,824,892,887,892,886,890,889,883,885,900,893,0,899,886,889,0,0,0,0,
Tue Apr  3 18:14:40 2018, 48.00,22.50,72.50,796,824,892,886,893,886,890,889,883,886,900,893,0,899,886,888,0,0,0,0,
Tue Apr  3 18:19:40 2018, 47.90,22.50,72.50,796,824,892,886,892,886,890,889,883,885,900,893,11,899,886,889,0,0,0,0,
Tue Apr  3 18:24:40 2018, 48.00,22.50,72.50,795,825,892,886,892,886,890,889,883,886,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 18:29:40 2018, 47.90,22.50,72.50,796,824,892,886,892,885,890,889,883,885,900,893,0,899,885,889,0,0,0,0,
Tue Apr  3 18:34:40 2018, 47.80,22.40,72.32,796,824,892,886,48.30,22.00,71.60,794,821,892,887,893,884,888,889,883,886,899,892,0,898,885,889,0,0,0,0,
Tue Apr  3 18:39:40 2018, 48.30,22.00,71.60,795,821,892,887,892,885,888,889,883,885,900,892,0,897,884,889,0,0,0,0,
Tue Apr  3 18:44:40 2018, 48.30,22.00,71.60,794,821,892,887,892,885,888,889,883,885,900,892,0,898,884,890,0,0,0,0,
Tue Apr  3 18:49:40 2018, 48.40,22.00,71.60,794,821,892,886,892,885,888,889,883,885,900,893,0,898,885,890,0,0,0,0,
Tue Apr  3 18:54:40 2018, 48.40,22.00,71.60,795,821,892,887,892,886,888,889,883,886,900,892,12,899,885,890,0,0,0,0,
Tue Apr  3 18:59:40 2018, 48.30,22.00,71.60,795,820,892,887,892,885,888,889,884,886,900,893,0,898,884,889,0,0,0,0,
Tue Apr  3 19:04:40 2018, 48.40,22.00,71.60,795,821,891,887,892,886,888,888,884,886,900,892,0,898,885,889,0,0,0,0,
Tue Apr  3 19:09:41 2018, 48.30,22.00,71.60,795,821,891,887,892,885,888,888,883,885,900,892,0,897,885,890,0,0,0,0,
Tue Apr  3 19:14:41 2018, 48.40,22.00,71.60,795,821,892,886,892,885,889,889,883,886,899,893,0,898,885,889,0,0,0,0,
Tue Apr  3 19:19:41 2018, 48.40,22.00,71.60,795,821,892,887,892,885,888,889,883,886,900,892,0,898,884,889,0,0,0,0,
Tue Apr  3 19:24:41 2018, 48.20,22.00,71.60,795,821,892,886,890,885,888,889,883,885,900,892,0,898,885,890,0,0,0,0,
Tue Apr  3 19:29:41 2018, 48.20,22.00,71.60,794,821,892,887,892,885,888,889,883,886,900,892,0,898,884,889,0,0,0,0,
Tue Apr  3 19:34:41 2018, 48.30,22.00,71.60,794,820,892,887,892,885,888,889,883,886,900,892,0,898,885,890,0,0,0,0,
Tue Apr  3 19:39:41 2018, 48.20,22.00,71.60,794,820,892,887,891,886,888,889,883,885,901,892,0,898,884,889,0,0,0,0,
Tue Apr  3 19:44:41 2018, 48.20,22.00,71.60,794,821,891,887,892,885,888,888,883,885,900,893,0,898,885,889,0,0,0,0,
Tue Apr  3 19:49:41 2018, 48.10,22.00,71.60,795,821,892,887,892,885,888,888,884,885,900,892,0,898,884,889,0,0,0,0,
Tue Apr  3 19:54:41 2018, 48.10,22.00,71.60,795,821,892,887,891,886,888,889,884,885,900,892,0,898,884,889,0,0,0,0,
Tue Apr  3 19:59:41 2018, 48.20,22.00,71.60,794,820,891,887,890,885,887,889,882,884,900,892,12,897,884,889,0,0,0,0,
Tue Apr  3 20:04:42 2018, 48.20,22.00,71.60,795,821,892,886,892,885,888,889,883,886,900,892,0,898,885,889,0,0,0,0,
Tue Apr  3 20:09:42 2018, 48.30,22.00,71.60,793,821,891,886,891,885,888,888,883,885,900,892,0,897,885,888,0,0,0,0,
Tue Apr  3 20:14:42 2018, 48.20,22.00,71.60,795,821,892,887,892,886,888,889,883,885,901,892,12,898,885,888,0,0,0,0,
Tue Apr  3 20:19:42 2018, 48.20,22.00,71.60,795,821,891,887,892,885,888,889,883,885,900,892,0,897,885,889,0,0,0,0,
Tue Apr  3 20:24:42 2018, 48.20,22.00,71.60,795,820,892,887,892,885,888,889,883,885,900,893,0,896,885,889,0,0,0,0,
Tue Apr  3 20:29:42 2018, 48.40,22.00,71.60,795,821,892,886,892,885,888,889,882,885,900,892,0,897,885,889,0,0,0,0,
Tue Apr  3 20:34:42 2018, 48.50,22.00,71.60,795,821,892,886,892,885,888,888,883,886,900,892,0,898,885,889,0,0,0,0,
Tue Apr  3 20:39:42 2018, 48.50,22.00,71.60,795,821,892,886,892,885,888,888,882,885,900,892,0,898,885,889,0,0,0,0,
Tue Apr  3 20:44:42 2018, 48.50,22.00,71.60,794,821,892,887,892,885,888,889,883,885,900,892,12,898,884,890,0,0,0,0,
Tue Apr  3 20:49:43 2018, 48.40,22.00,71.60,794,821,892,887,892,885,888,889,883,885,900,892,0,897,884,890,0,0,0,0,
Tue Apr  3 20:54:43 2018, 48.40,22.00,71.60,795,822,891,887,892,885,888,889,883,885,900,892,0,897,885,889,0,0,0,0,
Tue Apr  3 20:59:43 2018, 48.40,22.00,71.60,795,821,892,886,892,885,888,889,883,885,900,892,13,898,885,889,0,0,0,0,
Tue Apr  3 21:04:43 2018, 48.40,22.00,71.60,794,821,892,887,892,885,888,889,883,886,900,892,0,897,885,889,0,0,0,0,
Tue Apr  3 21:09:43 2018, 48.40,22.00,71.60,795,821,891,887,892,885,888,888,883,885,900,892,0,897,885,889,0,0,0,0,
Tue Apr  3 21:14:43 2018, 48.50,22.00,71.60,795,821,891,887,892,885,888,888,883,885,900,893,0,897,884,889,0,0,0,0,
Tue Apr  3 21:19:43 2018, 48.40,22.00,71.60,794,821,891,887,892,886,887,889,883,885,899,891,0,897,885,889,0,0,0,0,
Tue Apr  3 21:24:43 2018, 48.40,22.00,71.60,795,820,891,887,892,885,888,888,883,886,900,892,0,897,885,889,0,0,0,0,
Tue Apr  3 21:29:43 2018, 48.40,22.00,71.60,795,821,891,887,892,885,888,888,883,886,899,892,0,897,885,889,0,0,0,0,
Tue Apr  3 21:34:43 2018, 48.30,21.90,71.42,795,821,892,886,892,885,887,889,883,886,900,892,0,897,885,889,0,0,0,0,
Tue Apr  3 21:39:44 2018, 48.30,21.90,71.42,794,820,891,886,892,885,888,889,883,885,900,892,0,897,884,890,0,0,0,0,
Tue Apr  3 21:44:44 2018, 48.50,22.00,71.60,795,820,892,887,892,886,888,889,883,885,900,892,13,897,884,889,0,0,0,0,
Tue Apr  3 21:49:44 2018, 48.60,21.90,71.42,794,821,892,887,892,885,888,888,884,885,900,893,0,897,884,888,0,0,0,0,
Tue Apr  3 21:54:44 2018, 48.60,21.90,71.42,795,821,891,887,892,885,888,888,883,885,900,892,0,897,885,889,0,0,0,0,
Tue Apr  3 21:59:44 2018, 48.60,21.90,71.42,795,821,892,887,893,885,888,889,883,885,900,892,0,897,885,889,0,0,0,0,
Tue Apr  3 22:04:44 2018, 48.60,21.90,71.42,794,821,891,886,892,885,888,888,883,885,900,892,0,897,884,889,0,0,0,0,
Tue Apr  3 22:09:44 2018, 48.50,21.90,71.42,795,820,891,887,891,886,887,888,884,885,900,892,4,898,884,889,0,0,0,0,
Tue Apr  3 22:14:44 2018, 48.40,21.90,71.42,794,821,892,887,892,885,888,888,883,886,900,892,0,898,884,889,0,0,0,0,
Tue Apr  3 22:19:44 2018, 48.40,21.90,71.42,794,820,891,48.20,21.90,71.42,795,816,892,890,892,885,887,889,884,885,899,892,14,896,884,889,0,0,0,0,
Tue Apr  3 22:24:44 2018, 48.20,22.00,71.60,794,817,891,890,892,884,887,889,884,885,898,893,14,896,883,889,0,0,0,0,
Tue Apr  3 22:29:44 2018, 48.20,21.90,71.42,794,817,891,890,892,885,887,888,884,885,899,893,12,896,884,889,0,0,0,0,
Tue Apr  3 22:34:45 2018, 48.30,22.00,71.60,795,816,891,890,892,885,887,889,885,885,899,892,1,896,883,889,0,0,0,0,
Tue Apr  3 22:39:45 2018, 48.20,21.90,71.42,794,817,892,889,892,885,887,889,884,886,899,892,0,896,884,889,0,0,0,0,
Tue Apr  3 22:44:45 2018, 48.10,21.90,71.42,795,817,891,890,891,885,887,888,884,886,899,893,0,896,884,889,0,0,0,0,
Tue Apr  3 22:49:45 2018, 48.10,22.00,71.60,794,816,891,890,892,885,887,889,884,885,900,892,0,897,884,889,0,0,0,0,
Tue Apr  3 22:54:45 2018, 48.20,22.00,71.60,794,817,891,889,892,885,887,889,884,885,900,892,0,896,884,888,0,0,0,0,
Tue Apr  3 22:59:45 2018, 48.20,21.90,71.42,795,816,891,890,893,884,887,889,884,885,900,893,0,896,884,889,0,0,0,0,
Tue Apr  3 23:04:45 2018, 48.20,21.90,71.42,794,817,891,889,892,885,888,888,884,885,898,893,0,896,884,889,0,0,0,0,
Tue Apr  3 23:09:45 2018, 48.20,21.90,71.42,795,816,891,890,892,885,887,889,884,885,899,892,0,896,884,889,0,0,0,0,
Tue Apr  3 23:14:45 2018, 48.30,22.00,71.60,794,817,891,890,892,884,887,889,884,885,899,892,0,896,884,889,0,0,0,0,
Tue Apr  3 23:19:46 2018, 48.20,21.90,71.42,794,817,891,890,892,884,887,889,884,886,899,893,0,896,884,889,0,0,0,0,
Tue Apr  3 23:24:46 2018, 48.20,21.90,71.42,795,816,892,890,892,885,887,889,884,885,899,891,0,896,884,889,0,0,0,0,
Tue Apr  3 23:29:46 2018, 48.30,22.00,71.60,795,816,891,890,891,885,887,889,884,885,899,892,0,896,883,889,0,0,0,0,
