Thu Mar 29 18:47:30 2018, Humidity,T in C,T in F,mS1,mS2,mS3,mS4,mS5,mS6,mS7,mS8,mS9,mS10,mS11,mS12,mS13,mS14,mS15,mS16,p1,p2,p3,p4
Fri Mar 30 09:37:45 2018, 62.60,24.80,76.64,795,820,889,891,895,882,889,893,888,888,899,889,279,908,887,887,0,0,0,0,
Fri Mar 30 09:42:46 2018, 62.70,24.80,76.64,796,820,889,890,894,882,889,893,888,888,899,889,294,908,887,888,0,0,0,0,
Fri Mar 30 09:47:46 2018, 62.80,24.80,76.64,796,820,889,890,869.80,24.10,75.38,795,818,889,877,887,881,892,891,886,887,895,891,196,880,887,888,0,0,0,0,
Fri Mar 30 09:52:46 2018, 69.80,24.10,75.38,796,818,890,877,887,880,893,892,887,887,895,890,196,880,887,885,0,0,0,0,
Fri Mar 30 09:57:46 2018, 69.80,24.10,75.38,795,818,889,877,887,881,892,892,887,886,896,890,196,880,887,888,0,0,0,0,
Fri Mar 30 10:02:46 2018, 69.80,24.10,75.38,795,818,890,877,888,881,892,892,887,887,895,890,193,880,887,888,0,0,0,0,
Fri Mar 30 10:07:46 2018, 69.70,24.10,75.38,795,817,890,877,887,881,892,892,886,887,895,891,195,880,888,887,0,0,0,0,
Fri Mar 30 10:12:46 2018, 69.80,24.10,75.38,795,818,890,877,887,881,892,892,887,886,895,891,196,880,887,887,0,0,0,0,
Fri Mar 30 10:17:46 2018, 69.80,24.10,75.38,795,818,890,877,887,881,892,892,887,887,895,890,195,879,887,887,0,0,0,0,
Fri Mar 30 10:22:46 2018, 69.80,24.10,75.38,795,818,890,876,887,881,892,892,886,886,895,891,196,880,887,887,0,0,0,0,
Fri Mar 30 10:27:46 2018, 69.80,24.10,75.38,795,818,890,877,887,881,892,891,887,886,895,890,195,880,887,887,0,0,0,0,
Fri Mar 30 10:32:47 2018, 69.80,24.10,75.38,795,818,889,877,887,881,892,892,886,886,895,891,191,880,888,890,0,0,0,0,
Fri Mar 30 10:37:47 2018, 69.80,24.10,75.38,795,818,889,877,887,880,892,892,887,887,895,890,194,880,887,887,0,0,0,0,
